City,Country,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,HDI,Happinness Score,GDP/capita,Social Support,Healthy Life Expectancy,Freedom to make life choices,Generosity,Perception of Corruption,Country World Heritage Count
Cebu,Philippines,66.93,12.9,73.7,35.9,41.21,46.88,1.43,2.85,3.48,0.88,475.01,200.28,0.66,5.631,0.807,1.293,0.657,0.558,0.117,0.107,6
Davao,Philippines,69.29,17.63,69,77.98,30.66,17.71,0.79,1.9,3.17,0.84,554.18,158.34,0.66,5.631,0.807,1.293,0.657,0.558,0.117,0.107,6
Manila,Philippines,68.31,14.8,80.56,65.22,13.14,66.36,1.58,2.77,4.75,0.86,791.68,221.67,0.66,5.631,0.807,1.293,0.657,0.558,0.117,0.107,6
Lodz,Poland,73.32,26.37,53.21,37.21,46.29,64.51,1.45,4.77,4.15,1.18,337.35,415.2,0.834,6.182,1.206,1.438,0.884,0.483,0.117,0.05,16
Warsaw,Poland,76.76,35.77,63.33,86.16,51.82,32.03,1.66,5.19,5.19,1.18,726.59,664.31,0.834,6.182,1.206,1.438,0.884,0.483,0.117,0.05,16
Braga,Portugal,75.07,30.21,69.71,14.54,69.91,18.12,1.02,4.48,2.13,1.39,383.62,596.74,0.822,5.693,1.221,1.431,0.999,0.508,0.047,0.025,17
Lisbon,Portugal,77.63,32.48,62.38,28.78,56.08,40.08,1.02,5.11,2.98,1.38,822.65,767.23,0.822,5.693,1.221,1.431,0.999,0.508,0.047,0.025,17
Porto,Portugal,76.17,31.28,61.51,67.64,58.95,37.51,0.68,4.26,3.41,1.37,596.74,664.94,0.822,5.693,1.221,1.431,0.999,0.508,0.047,0.025,17
Doha,Qatar,90.73,81.96,68.06,83.45,80.28,27.17,2.78,6.28,14.32,0.18,2221.74,2775.58,0.851,6.374,1.684,1.313,0.871,0.555,0.22,0.167,1
Bucharest,Romania,72.28,22.85,52.05,74.57,29.45,33.41,1.37,4.89,2.94,1.17,508.98,383.17,0.785,6.07,1.162,1.232,0.825,0.462,0.083,0.005,7
Moscow,Russia,76.35,24.94,42.3,30.03,18.65,53.19,3.1,7.24,7.03,0.62,2067.19,930.24,0.778,5.648,1.183,1.452,0.726,0.334,0.082,0.031,29
Saint Petersburg,Russia,73.1,24.82,46.34,77.98,25.97,56.96,2.07,6.2,6.2,0.62,1033.6,620.16,0.778,5.648,1.183,1.452,0.726,0.334,0.082,0.031,29
Riyadh,Saudi Arabia,83.22,63.22,54.59,11.48,67.72,32.39,1.69,79.49,17.43,0.08,610.14,1394.6,0.836,6.375,1.403,1.357,0.795,0.439,0.08,0.132,5
Saint Louis,Senegal,85.25,80.4,77.29,31.33,87.51,78.13,1.96,6.54,6.54,0.61,980.65,2144.36,0.485,4.681,0.45,1.134,0.571,0.292,0.153,0.072,7
Belgrade,Serbia,71.65,21.46,52.53,77.08,35.69,37.97,1.1,2.98,3.02,1.17,426.24,359.9,0.745,5.603,1.004,1.383,0.854,0.282,0.137,0.039,5
Singapore,Singapore,81.07,33.14,58.82,18.48,42.65,19.96,2.64,5.27,15.82,1.11,3164.42,1582.21,0.901,6.262,1.572,1.463,1.141,0.556,0.271,0.453,1
Bratislava,Slovakia,74.76,29.29,59.72,30.55,56.18,34.38,1.45,5.11,4.26,1.28,852.48,681.99,0.83,6.198,1.246,1.504,0.881,0.334,0.121,0.014,7
Ljubljana,Slovenia,75.35,32.28,71.76,85.59,61.87,32.94,1.28,4.69,4.26,1.27,767.23,809.86,0.874,6.118,1.258,1.523,0.953,0.564,0.144,0.057,4
Cape Town,South Africa,87.95,60.36,71.67,75.98,78.73,68.06,1.27,3.18,3.53,0.82,811.48,1199.58,0.658,4.722,0.96,1.351,0.469,0.389,0.13,0.055,10
Johannesburg,South Africa,84.08,53.99,59.98,47.39,51.26,83.93,1.16,3.46,3.53,0.84,705.63,1167.89,0.658,4.722,0.96,1.351,0.469,0.389,0.13,0.055,10
Pretoria,South Africa,80.56,46.74,71.11,70.13,61.44,68.06,1.06,3.63,3.25,0.84,377.8,952.6,0.658,4.722,0.96,1.351,0.469,0.389,0.13,0.055,10
Seoul,South Korea,82.43,54.3,75,85.59,60.28,21.35,2.59,5.25,11.67,1.17,1458.2,1458.2,0.891,5.895,1.301,1.219,1.036,0.159,0.175,0.056,14
Alicante,Spain,82.83,44.69,75.61,28.19,72.53,44.01,1.28,6.01,4.03,1.19,511.49,852.48,0.869,6.354,1.286,1.484,1.062,0.362,0.153,0.079,48
